Student_ID,Age,Gender,Department,City,Attendance_Percentage,Study_Hours_Per_Day,Assignment_Score,Midterm_Score,Final_Exam_Score,Lab_Score,Projects_Completed,Internet_Usage_Hours,Sleep_Hours,Extracurricular_Hours,Overall_Performance
STU1030,22,Male,Electronics,Mysuru,95.0,5.5,64.4,83.8,100.0,74.1,5,2.4,8.2,4.6,84.4
STU1031,23,Male,Electronics,Kolar,100.0,4.0,87.3,77.7,83.4,68.8,3,1.6,5.6,0.8,82.2
STU1032,22,Male,Civil,Bengaluru,89.6,5.9,82.8,91.4,84.5,75.8,1,1.2,8.1,1.7,85.1
STU1033,19,Female,Biotechnology,Chikkaballapur,100.0,6.0,93.5,76.4,81.3,95.1,5,2.4,6.6,1.1,86.5
STU1034,23,Male,Biotechnology,Chikkaballapur,88.7,1.3,86.6,64.2,86.9,84.0,0,4.3,6.5,0.6,80.9
STU1035,19,Female,Electronics,Bengaluru,88.6,4.7,89.3,73.9,75.8,83.1,2,3.7,6.8,0.0,80.4
STU1036,18,Female,Mechanical,Kolar,70.1,4.5,71.6,84.0,76.2,78.3,2,3.2,5.3,0.6,76.9
STU1037,23,Male,Civil,Bengaluru,82.1,5.8,96.9,70.3,88.1,70.5,1,4.3,8.6,1.9,82.2
STU1038,18,Male,Mechanical,Bengaluru,89.9,4.4,88.7,80.9,81.3,85.9,0,5.2,5.8,1.9,84.2
STU1039,21,Female,Electronics,Mandya,79.1,7.1,100.0,76.1,89.9,85.9,2,4.5,7.9,2.1,86.8
STU1040,22,Male,Computer Science,Tumakuru,79.6,1.8,86.5,82.9,73.7,78.9,2,4.4,8.3,1.2,79.9
STU1041,19,Female,Mechanical,Mysuru,82.4,5.1,76.0,91.0,72.7,80.6,3,4.6,7.6,1.4,80.1
STU1042,23,Male,Computer Science,Mysuru,98.9,3.0,89.2,82.7,66.2,83.7,4,4.7,7.7,2.6,80.8
STU1043,19,Female,Computer Science,Hassan,89.3,4.7,81.8,98.5,86.9,71.7,1,6.1,8.0,0.6,86.7
STU1044,18,Male,Electronics,Tumakuru,85.5,6.0,73.6,83.2,71.8,89.3,3,2.6,7.0,0.9,79.0
STU1045,19,Female,Electronics,Mandya,88.5,5.6,91.2,86.9,96.7,91.8,2,2.6,7.1,2.9,91.6
STU1046,21,Male,Mechanical,Mandya,100.0,4.2,78.2,76.8,85.5,79.2,0,4.4,8.5,1.9,82.4
STU1047,20,Male,Electronics,Mysuru,92.3,5.8,86.2,90.2,100.0,81.0,0,5.3,5.8,0.0,91.2
STU1048,21,Female,Computer Science,Mandya,89.3,4.3,84.1,74.2,87.4,84.9,1,2.6,6.6,3.5,83.3
STU1049,18,Male,Mechanical,Hassan,79.1,4.0,74.0,76.3,69.4,74.7,3,2.4,6.9,1.7,73.8
STU1050,21,Male,Biotechnology,Chikkaballapur,100.0,1.8,97.6,79.8,72.3,77.5,5,2.7,9.1,2.6,82.8
STU1051,19,Female,Electronics,Kolar,90.9,1.5,78.6,76.3,65.0,73.8,3,0.5,5.4,2.9,74.5
STU1052,18,Female,Civil,Chikkaballapur,63.5,6.5,83.2,89.5,92.7,80.3,0,4.8,6.7,1.3,85.2
STU1053,23,Female,Electronics,Kolar,65.2,4.5,66.3,67.8,57.2,71.0,3,1.3,6.3,2.9,64.5
STU1054,23,Male,Biotechnology,Mysuru,83.3,4.4,84.5,83.5,68.3,85.7,3,0.6,6.9,4.4,79.4
STU1055,20,Female,Civil,Kolar,83.1,3.7,87.8,73.5,79.3,66.8,3,4.1,7.0,2.8,78.1
STU1056,18,Male,Civil,Mysuru,92.2,5.7,92.3,75.3,94.7,89.7,2,3.2,8.3,0.7,88.4
STU1057,21,Male,Computer Science,Hassan,100.0,5.6,100.0,87.9,95.1,81.9,0,3.5,7.1,1.7,92.8
STU1058,21,Male,Civil,Bengaluru,81.6,2.2,75.5,78.7,75.2,63.0,1,0.8,6.9,1.8,74.9
STU1059,23,Male,Computer Science,Mysuru,70.0,4.7,90.8,74.6,80.3,70.5,1,4.8,8.0,2.8,78.5
STU1060,22,Male,Mechanical,Bengaluru,100.0,5.4,91.5,81.1,88.7,86.3,0,3.5,6.3,2.2,88.1
STU1061,21,Female,Electronics,Tumakuru,94.1,2.2,81.5,70.2,77.7,63.9,3,3.2,7.2,0.9,76.2
STU1062,18,Female,Biotechnology,Tumakuru,76.4,5.5,83.9,89.3,86.7,76.9,4,3.8,6.7,3.8,84.3
STU1063,20,Female,Electronics,Chikkaballapur,78.3,4.5,68.1,64.7,77.6,84.7,1,4.8,8.1,0.0,73.6
STU1064,22,Male,Civil,Kolar,74.7,3.6,73.3,69.2,72.6,69.9,4,4.9,6.1,0.7,71.7
STU1065,23,Female,Civil,Mysuru,70.4,5.0,83.1,69.9,76.5,84.1,3,2.4,7.9,1.9,76.7
STU1066,22,Male,Mechanical,Hassan,81.5,5.5,84.1,86.4,96.7,86.6,3,2.3,6.4,2.0,88.6
STU1067,18,Male,Electronics,Hassan,92.7,5.4,72.8,74.6,75.0,91.2,2,5.0,9.1,2.3,78.7
STU1068,22,Male,Electronics,Kolar,79.1,3.0,67.6,56.7,76.2,74.2,5,1.8,6.8,2.5,69.6
STU1069,19,Female,Mechanical,Mandya,81.3,7.5,95.1,84.4,88.1,94.0,0,3.6,5.8,0.8,88.8
STU1070,20,Female,Civil,Mysuru,81.7,3.6,83.7,67.5,71.9,78.3,1,3.9,5.6,1.8,75.1
STU1071,18,Male,Computer Science,Mandya,93.9,4.0,87.1,82.0,80.5,76.6,2,5.1,8.4,0.9,83.0
STU1072,21,Female,Electronics,Kolar,75.3,4.1,78.6,82.8,65.9,82.5,2,3.0,8.9,3.3,76.1
STU1073,19,Female,Electronics,Tumakuru,63.1,5.8,79.4,65.8,93.9,75.9,4,2.0,7.8,0.7,78.2
STU1074,22,Male,Civil,Mandya,83.3,4.4,88.9,78.9,97.2,77.3,5,2.5,4.3,1.8,86.6
STU1075,18,Male,Electronics,Tumakuru,89.4,5.1,90.8,86.4,58.3,74.6,1,4.9,7.2,2.9,77.4
STU1076,21,Female,Biotechnology,Bengaluru,95.8,5.1,87.0,90.3,81.3,73.4,1,3.8,6.6,3.0,85.0
STU1077,21,Male,Civil,Kolar,75.2,5.8,89.3,72.3,89.2,79.2,5,3.1,5.4,2.0,82.1
STU1078,18,Female,Electronics,Mysuru,82.0,5.5,86.0,86.3,82.7,88.3,2,5.6,8.6,2.3,85.0
STU1079,22,Male,Biotechnology,Bengaluru,75.2,4.1,66.1,70.3,58.2,72.7,2,1.8,5.5,2.1,66.7
STU1080,22,Male,Biotechnology,Chikkaballapur,82.9,5.5,84.2,71.8,98.1,80.5,5,4.0,7.9,0.0,84.6
STU1081,21,Female,Civil,Bengaluru,72.1,3.4,76.5,79.4,89.7,89.4,2,5.7,5.1,0.8,82.7
STU1082,21,Female,Civil,Bengaluru,88.6,3.4,79.8,71.4,71.4,82.1,4,0.8,6.1,1.9,76.4
STU1083,20,Female,Computer Science,Bengaluru,79.1,1.0,88.0,75.6,75.7,65.0,3,1.2,5.8,0.1,76.9
STU1084,19,Female,Computer Science,Bengaluru,81.6,6.8,81.6,90.5,84.9,94.3,3,3.3,6.8,0.0,86.7
STU1085,23,Female,Electronics,Hassan,83.2,5.5,90.3,91.1,72.9,75.3,2,6.4,8.5,0.9,82.3
STU1086,23,Female,Biotechnology,Mandya,90.8,4.6,79.2,75.5,88.6,88.5,4,3.8,7.0,2.5,83.6
STU1087,22,Male,Mechanical,Hassan,68.0,5.4,67.4,70.0,81.6,80.4,4,2.9,5.6,2.0,74.3
STU1088,19,Male,Electronics,Bengaluru,79.6,4.0,77.1,75.5,81.0,74.3,2,2.8,6.8,1.9,77.7
STU1089,18,Male,Mechanical,Mandya,77.7,5.8,84.2,78.9,82.4,88.1,0,2.3,6.4,1.9,82.3
STU1090,21,Male,Electronics,Bengaluru,93.2,4.1,77.4,84.7,95.3,75.1,4,3.1,4.6,1.5,85.8
STU1091,23,Male,Computer Science,Bengaluru,76.7,3.6,76.7,65.1,71.6,68.9,4,2.0,6.8,3.4,71.1
STU1092,19,Female,Electronics,Hassan,78.3,3.2,79.6,71.9,56.9,73.2,5,2.2,6.9,2.4,69.8
STU1093,23,Male,Civil,Mysuru,92.6,6.7,90.7,83.8,87.1,89.1,5,2.1,7.0,1.2,87.8
STU1094,21,Female,Electronics,Kolar,69.3,4.9,83.4,86.5,70.3,74.1,5,6.9,6.7,2.5,77.4
STU1095,23,Male,Mechanical,Tumakuru,84.2,4.3,82.4,78.3,83.1,77.8,2,3.7,6.5,3.1,81.1
STU1096,19,Female,Biotechnology,Bengaluru,64.5,5.7,88.9,81.8,86.2,70.2,4,2.9,7.6,2.2,81.1
STU1097,20,Female,Electronics,Kolar,89.3,4.6,88.3,97.4,94.8,73.1,0,1.6,7.0,2.0,90.3
STU1098,23,Male,Civil,Mandya,85.1,2.6,75.1,70.0,80.4,75.8,0,3.2,8.5,3.0,76.5
STU1099,19,Female,Civil,Tumakuru,75.9,4.9,75.0,70.3,76.3,79.8,0,2.1,6.5,1.5,75.0
STU1100,23,Female,Biotechnology,Chikkaballapur,66.1,5.7,67.9,69.8,60.5,83.4,4,3.5,7.8,0.0,68.3
STU1101,21,Male,Civil,Tumakuru,77.9,3.0,81.0,80.0,87.4,68.9,4,4.6,7.5,1.8,80.5
STU1102,21,Male,Electronics,Kolar,83.9,1.0,70.6,53.6,65.6,73.8,3,2.4,6.2,3.2,66.7
STU1103,18,Male,Computer Science,Kolar,88.5,3.2,90.8,84.3,83.9,80.2,2,4.0,7.8,2.3,85.3
STU1104,21,Female,Electronics,Bengaluru,87.5,8.1,87.8,89.8,100.0,97.8,4,3.1,5.4,0.7,93.4
STU1105,19,Female,Biotechnology,Chikkaballapur,82.1,3.4,67.4,85.2,54.7,67.7,2,3.3,5.6,0.3,69.6
STU1106,22,Female,Electronics,Hassan,80.3,1.9,87.9,65.7,72.0,66.8,5,1.7,6.3,1.7,73.7
STU1107,22,Male,Computer Science,Kolar,84.2,6.0,86.6,81.5,100.0,93.8,2,3.7,8.0,2.6,90.2
STU1108,22,Male,Computer Science,Hassan,80.9,7.5,84.9,87.8,87.1,91.1,0,4.3,5.1,1.1,86.8
STU1109,20,Male,Computer Science,Hassan,75.2,7.1,80.5,88.0,83.9,90.8,5,2.0,4.0,1.7,84.4
STU1110,18,Female,Computer Science,Tumakuru,87.7,1.0,77.8,70.0,85.6,84.3,2,3.6,6.3,1.0,80.2
STU1111,22,Male,Electronics,Chikkaballapur,91.8,6.4,98.9,69.1,100.0,83.0,3,5.9,6.3,1.6,88.7
STU1112,18,Female,Electronics,Chikkaballapur,89.8,5.6,87.7,89.3,82.1,82.4,5,5.4,6.8,2.2,85.8
STU1113,22,Female,Civil,Bengaluru,82.1,4.8,84.5,76.2,91.2,86.2,3,5.2,7.8,2.6,84.4
STU1114,18,Male,Mechanical,Kolar,81.6,3.4,84.8,86.6,91.4,77.1,3,4.6,8.0,1.2,85.8
STU1115,18,Male,Electronics,Tumakuru,100.0,5.5,93.1,93.7,85.6,91.9,3,5.8,5.5,2.9,91.5
STU1116,19,Male,Mechanical,Mandya,80.0,3.4,79.8,57.6,69.9,75.0,2,4.8,8.8,3.6,70.6
STU1117,21,Female,Electronics,Kolar,72.7,5.3,82.0,74.3,82.2,81.6,4,2.1,6.8,2.0,79.1
STU1118,19,Male,Electronics,Bengaluru,77.7,4.1,73.2,78.8,70.7,65.2,0,6.9,6.5,1.3,73.1
STU1119,19,Female,Electronics,Chikkaballapur,67.3,6.4,68.5,73.8,68.0,81.8,3,2.5,4.0,0.0,71.6
STU1120,22,Female,Civil,Tumakuru,80.2,5.0,77.0,78.3,85.6,83.1,2,3.1,6.3,3.9,81.1
STU1121,20,Male,Civil,Mysuru,81.5,7.6,98.9,100.0,85.9,84.9,5,5.8,7.3,3.9,91.4
STU1122,19,Female,Biotechnology,Mysuru,98.4,7.0,88.0,96.5,93.6,98.4,0,4.1,6.1,2.6,94.4
STU1123,23,Female,Civil,Chikkaballapur,78.8,7.3,68.1,85.6,83.1,88.9,0,3.0,5.8,0.0,81.2
STU1124,22,Male,Mechanical,Mysuru,75.5,4.6,95.8,63.2,86.0,68.1,2,1.7,7.5,2.3,78.5
STU1125,20,Female,Computer Science,Chikkaballapur,77.9,3.3,59.7,71.4,66.3,76.8,4,5.2,6.3,2.7,69.0
STU1126,22,Female,Electronics,Hassan,94.9,5.5,89.9,96.2,93.3,91.3,4,5.4,4.8,1.2,93.2
STU1127,23,Male,Mechanical,Kolar,73.9,2.8,72.2,73.4,82.7,65.7,3,3.8,10.0,1.8,74.8
STU1128,21,Female,Electronics,Mandya,87.4,4.7,95.0,96.9,98.7,78.6,2,2.8,6.0,2.7,93.4
STU1129,21,Male,Mechanical,Hassan,76.2,8.0,78.3,100.0,74.4,94.9,1,4.5,6.1,2.7,84.8
STU1130,20,Male,Mechanical,Kolar,79.9,4.7,93.3,73.0,77.2,76.7,2,2.9,6.0,0.8,79.6
STU1131,19,Female,Civil,Mandya,75.1,3.0,83.4,73.0,53.2,75.7,1,4.1,7.4,0.0,69.8
STU1132,18,Male,Mechanical,Tumakuru,77.3,7.3,86.1,79.3,100.0,93.4,5,4.2,5.7,2.2,88.8
STU1133,18,Male,Electronics,Mysuru,90.7,3.1,79.0,70.2,92.1,88.1,4,3.4,6.5,3.0,83.3
STU1134,18,Male,Mechanical,Tumakuru,91.6,4.2,91.2,70.4,71.5,75.7,4,2.0,5.2,2.6,77.8
STU1135,18,Male,Biotechnology,Mysuru,67.7,3.8,82.7,62.0,77.7,67.6,5,4.8,4.4,2.3,72.3
STU1136,20,Male,Biotechnology,Mandya,84.6,3.2,83.2,71.9,82.8,86.0,5,2.5,5.5,4.6,80.8
STU1137,21,Male,Biotechnology,Bengaluru,82.7,2.4,69.4,66.3,90.1,80.6,2,4.4,6.3,3.4,77.8
STU1138,23,Female,Electronics,Tumakuru,81.9,6.5,86.9,80.7,89.3,97.0,4,0.9,6.0,2.7,87.1
STU1139,21,Male,Civil,Mysuru,71.2,3.1,74.8,83.4,72.1,69.4,5,4.3,6.5,2.2,75.0
STU1140,18,Male,Biotechnology,Kolar,85.0,2.9,81.4,66.8,67.9,80.2,2,1.9,6.8,2.8,73.9
STU1141,23,Male,Computer Science,Mandya,79.9,3.3,73.9,64.9,78.7,61.9,3,2.3,6.8,2.4,71.9
STU1142,20,Male,Civil,Mandya,75.5,2.2,66.9,76.6,72.8,64.8,4,3.9,7.7,1.5,71.6
STU1143,21,Male,Mechanical,Hassan,80.0,6.4,79.0,84.5,77.6,84.7,5,2.6,7.8,0.4,80.9
STU1144,20,Female,Biotechnology,Mandya,79.7,5.0,86.4,71.5,82.0,82.6,1,4.4,6.0,2.2,80.1
STU1145,18,Female,Mechanical,Bengaluru,74.8,3.8,79.0,78.4,79.6,82.1,5,2.4,7.8,3.8,79.1
STU1146,19,Male,Civil,Chikkaballapur,75.8,4.5,90.7,63.5,70.1,60.2,2,1.3,7.4,2.0,71.7
STU1147,22,Male,Computer Science,Bengaluru,79.0,5.6,78.8,86.5,100.0,89.0,1,3.7,6.0,2.8,88.6
STU1148,18,Male,Civil,Mandya,73.8,3.5,75.0,88.7,83.1,72.9,4,6.3,5.9,0.0,80.4
STU1149,18,Female,Electronics,Chikkaballapur,71.8,4.2,71.9,82.1,82.8,81.4,5,4.2,4.9,3.3,79.1
STU1150,19,Female,Mechanical,Hassan,69.0,8.0,85.5,75.5,90.7,82.9,4,6.2,7.5,1.0,82.5
STU1151,19,Female,Biotechnology,Hassan,96.6,3.4,95.9,100.0,91.1,66.9,2,2.7,6.9,2.2,91.2
STU1152,19,Female,Electronics,Bengaluru,90.9,1.0,72.5,74.5,82.3,67.2,3,3.8,8.6,2.3,77.0
STU1153,23,Male,Electronics,Hassan,90.8,4.8,90.6,64.6,71.9,92.4,5,6.7,6.9,2.5,78.8
STU1154,22,Female,Biotechnology,Kolar,81.0,6.2,83.2,88.1,100.0,73.0,1,5.2,7.2,0.4,87.7
STU1155,22,Male,Mechanical,Hassan,68.8,3.2,71.2,91.9,69.7,65.8,5,6.1,8.5,2.7,74.9
STU1156,21,Male,Biotechnology,Tumakuru,69.8,7.4,75.3,88.2,100.0,84.0,5,5.3,6.2,1.0,86.7
STU1157,23,Male,Electronics,Chikkaballapur,81.4,5.9,75.1,76.1,93.9,88.1,3,6.6,9.1,0.0,83.6
STU1158,23,Female,Electronics,Hassan,85.3,3.2,85.3,64.3,59.9,88.4,2,3.2,6.6,1.3,72.9
STU1159,22,Female,Biotechnology,Kolar,74.4,6.5,86.1,76.4,75.1,86.7,2,4.5,4.1,2.5,79.3
STU1160,21,Male,Biotechnology,Tumakuru,86.6,2.5,76.1,70.0,86.0,66.4,2,0.5,4.3,1.7,77.1
STU1161,22,Male,Computer Science,Mandya,93.1,4.3,88.5,76.7,94.5,90.3,4,3.2,5.3,2.9,88.1
STU1162,20,Female,Biotechnology,Kolar,75.1,3.0,73.6,93.3,76.7,66.5,1,3.3,7.2,0.7,78.5
STU1163,19,Male,Civil,Mysuru,94.6,7.7,100.0,81.1,98.5,93.3,5,3.9,9.1,3.3,93.3
STU1164,19,Male,Biotechnology,Chikkaballapur,94.5,3.8,74.8,85.6,87.9,80.0,4,5.2,6.8,3.6,84.2
STU1165,19,Female,Biotechnology,Bengaluru,71.8,3.7,67.3,81.9,69.5,78.8,4,2.0,6.4,0.0,73.8
STU1166,22,Male,Civil,Bengaluru,88.3,8.3,85.8,82.7,99.0,92.5,1,5.5,8.7,3.0,90.2
STU1167,23,Female,Mechanical,Chikkaballapur,100.0,4.9,84.2,81.1,86.2,81.6,2,3.2,7.5,2.9,85.2
STU1168,18,Male,Biotechnology,Hassan,83.8,4.9,83.6,77.6,94.1,84.5,0,0.9,5.5,2.1,85.4
STU1169,21,Male,Biotechnology,Chikkaballapur,82.5,4.7,82.5,80.0,100.0,69.0,3,4.0,5.8,2.7,85.1
STU1170,18,Male,Biotechnology,Mandya,78.9,6.1,71.6,78.2,77.9,86.2,4,5.1,6.6,3.7,78.1
STU1171,22,Female,Mechanical,Mandya,91.2,2.4,96.2,75.1,75.0,79.0,5,3.5,5.8,2.0,81.5
STU1172,22,Male,Biotechnology,Hassan,73.2,4.0,76.7,74.4,64.5,64.3,3,4.7,5.9,3.7,70.3
STU1173,22,Male,Mechanical,Hassan,70.2,6.0,74.6,85.5,87.1,72.7,0,2.7,5.1,2.3,80.4
STU1174,21,Female,Computer Science,Bengaluru,74.9,2.9,93.4,73.8,70.4,74.6,4,4.3,6.2,3.6,76.9
STU1175,19,Male,Computer Science,Mysuru,79.6,5.7,83.6,81.8,100.0,80.0,2,2.1,6.4,2.6,87.1
STU1176,19,Female,Mechanical,Mandya,100.0,1.8,69.2,79.5,78.8,64.4,2,5.6,6.8,3.2,77.0
STU1177,18,Male,Civil,Chikkaballapur,86.3,2.3,87.3,75.8,79.0,68.0,5,4.5,7.2,2.1,78.9
STU1178,21,Female,Electronics,Bengaluru,99.3,5.7,90.7,89.4,82.4,100.0,3,1.5,7.4,1.9,90.1
STU1179,23,Male,Civil,Hassan,77.7,5.3,80.3,62.5,82.1,82.6,3,2.2,5.7,1.9,76.5
STU1180,21,Male,Electronics,Kolar,83.4,5.2,89.7,68.5,94.2,77.2,4,3.2,6.1,3.1,83.2
STU1181,22,Male,Mechanical,Mysuru,96.1,2.4,88.1,60.8,88.4,82.1,5,1.0,6.7,1.3,81.3
STU1182,19,Male,Mechanical,Mandya,92.4,2.1,77.8,58.9,87.0,70.4,4,0.6,6.3,1.8,76.2
STU1183,20,Female,Biotechnology,Tumakuru,72.1,2.8,83.2,53.5,72.0,61.0,2,2.7,7.5,1.5,68.0
STU1184,18,Male,Biotechnology,Kolar,72.0,3.5,79.0,69.7,76.8,65.4,3,2.0,7.5,3.7,73.3
STU1185,23,Male,Civil,Mandya,87.0,3.8,80.5,66.9,79.2,65.4,0,5.7,5.7,2.9,75.1
STU1186,22,Male,Mechanical,Chikkaballapur,66.2,4.7,78.8,74.0,72.9,86.0,5,3.1,8.5,2.9,75.6
STU1187,22,Female,Biotechnology,Mysuru,76.7,5.1,79.1,91.0,50.1,85.3,0,5.3,7.3,1.8,74.1
STU1188,23,Male,Computer Science,Mandya,69.2,6.0,92.8,76.7,65.4,88.0,0,2.2,7.5,1.2,77.5
STU1189,21,Male,Biotechnology,Bengaluru,83.3,4.2,90.8,85.0,67.5,85.0,5,5.3,4.7,2.4,80.7
STU1190,21,Male,Electronics,Hassan,74.3,8.5,85.3,74.8,88.7,89.0,5,6.1,5.8,1.7,83.2
STU1191,20,Female,Biotechnology,Bengaluru,82.6,7.3,94.7,83.4,94.1,83.4,2,4.2,5.1,1.6,88.8
STU1192,23,Female,Mechanical,Bengaluru,72.5,4.2,82.4,76.3,76.8,81.2,3,4.9,6.5,0.9,78.0
STU1193,19,Female,Biotechnology,Mandya,99.7,1.6,93.1,86.8,81.5,69.3,1,7.8,5.6,0.1,85.1
STU1194,19,Male,Electronics,Mandya,70.4,4.2,62.2,65.7,75.9,77.8,4,5.1,4.6,5.4,70.3
STU1195,20,Female,Biotechnology,Kolar,93.1,5.4,86.1,69.4,99.7,74.9,5,1.3,5.1,2.1,85.0
STU1196,22,Male,Mechanical,Mysuru,81.7,3.1,83.0,72.7,75.1,69.0,2,4.6,5.7,2.2,75.8
STU1197,19,Male,Computer Science,Tumakuru,79.0,5.4,87.2,100.0,100.0,86.3,5,3.4,6.3,3.0,93.3
STU1198,21,Female,Electronics,Tumakuru,81.8,5.3,97.3,79.5,87.3,78.5,4,4.3,6.6,0.0,85.5
STU1199,18,Male,Civil,Tumakuru,73.4,3.8,77.3,74.0,75.2,70.5,1,4.7,4.8,2.5,74.4
STU1200,23,Female,Electronics,Tumakuru,82.8,1.1,89.3,83.3,79.8,77.5,3,6.4,6.8,0.0,82.5
STU1201,23,Female,Electronics,Mysuru,78.3,6.0,90.5,82.5,78.5,100.0,5,3.9,7.1,3.2,85.1
STU1202,19,Male,Biotechnology,Hassan,86.0,4.5,74.9,74.5,72.3,86.5,4,2.4,6.6,1.3,76.9
STU1203,18,Male,Civil,Bengaluru,75.2,4.8,85.2,72.4,90.7,88.4,0,4.0,4.0,1.4,83.1
STU1204,21,Male,Computer Science,Hassan,72.0,4.9,85.0,76.7,89.1,84.9,3,4.5,5.6,0.2,82.8
STU1205,23,Male,Civil,Mysuru,84.2,6.3,82.9,78.8,87.8,88.4,0,1.7,7.2,1.7,84.3
STU1206,18,Female,Computer Science,Mandya,77.4,5.6,100.0,78.2,94.6,69.9,4,3.7,6.5,2.7,86.2
STU1207,22,Male,Biotechnology,Kolar,93.3,5.2,86.8,91.3,98.8,82.1,0,4.6,7.2,0.0,91.5
STU1208,18,Female,Computer Science,Mysuru,99.6,5.1,86.5,84.5,69.9,85.5,1,4.5,7.3,2.3,82.2
STU1209,22,Female,Civil,Bengaluru,79.4,3.5,90.3,64.7,79.8,68.2,5,2.6,5.4,2.4,76.3
STU1210,18,Male,Biotechnology,Mandya,80.2,2.1,60.2,74.1,62.0,63.8,5,3.5,5.4,3.5,66.8
STU1211,21,Female,Computer Science,Mysuru,67.8,3.9,86.9,79.1,70.8,75.1,0,3.9,6.4,3.4,76.4
STU1212,18,Female,Computer Science,Hassan,85.9,1.3,82.3,65.0,81.9,72.7,0,2.1,7.5,1.8,76.8
STU1213,23,Female,Computer Science,Mandya,76.7,4.3,82.3,85.2,53.2,68.0,4,3.6,9.1,2.4,71.6
STU1214,19,Female,Civil,Mysuru,78.7,2.5,79.5,76.0,79.5,75.9,3,3.7,7.8,1.4,78.0
STU1215,21,Female,Mechanical,Mandya,92.1,5.6,100.0,94.3,72.6,75.4,2,5.4,6.8,0.0,85.9
